date,value
2016-10-05,156779
2016-10-06,163048
2016-10-07,54262
2016-10-08,135117
2016-10-09,33776
2016-10-10,171152
2016-10-11,138376
2016-10-12,147848
2016-10-13,102787
2016-10-14,137948
2016-10-15,65016
2016-10-16,150546
2016-10-17,31959
2016-10-18,146602
2016-10-19,129101
2016-10-20,13748
2016-10-21,23545
2016-10-22,137659
2016-10-23,175838
2016-10-24,83530
2016-10-25,103557
2016-10-26,71087
2016-10-27,78840
2016-10-28,128451
2016-10-29,61005
2016-10-30,49353
2016-10-31,62733
2016-11-01,75318
2016-11-02,164736
2016-11-03,77172
2016-11-04,103264
2016-11-05,36736
2016-11-06,122859
2016-11-07,122181
2016-11-08,141926
2016-11-09,100084
2016-11-10,179695
2016-11-11,17392
2016-11-12,65680
2016-11-13,60859
2016-11-14,135657
2016-11-15,167381
2016-11-16,80467
2016-11-17,108506
2016-11-18,119751
2016-11-19,128906
2016-11-20,153760
2016-11-21,35342
2016-11-22,178229
2016-11-23,116308
2016-11-24,116081
2016-11-25,99045
2016-11-26,44698
2016-11-27,120078
2016-11-28,90623
2016-11-29,32671
2016-11-30,166256
2016-12-01,103384
2016-12-02,96202
2016-12-03,61663
2016-12-04,25708
2016-12-05,101906
2016-12-06,59811
2016-12-07,143883
2016-12-08,66250
2016-12-09,122547
2016-12-10,134249
2016-12-11,44754
2016-12-12,152483
2016-12-13,143983
2016-12-14,149752
2016-12-15,94896
2016-12-16,81295
2016-12-17,110689
2016-12-18,21111
2016-12-19,47504
2016-12-20,142874
2016-12-21,18155
2016-12-22,49384
2016-12-23,122561
2016-12-24,57254
2016-12-25,31918
2016-12-26,95981
2016-12-27,40306
2016-12-28,157718
2016-12-29,56843
2016-12-30,130975
2016-12-31,106601
2017-01-01,117512
2017-01-02,157443
2017-01-03,121472
2017-01-04,143121
2017-01-05,172688
2017-01-06,113727
2017-01-07,122893
2017-01-08,30932
2017-01-09,127796
2017-01-10,39855
2017-01-11,17400
2017-01-12,127858
2017-01-13,25151
2017-01-14,76690
2017-01-15,14499
2017-01-16,16295
2017-01-17,130885
2017-01-18,136071
2017-01-19,69040
2017-01-20,22183
2017-01-21,170371
2017-01-22,153946
2017-01-23,126336
2017-01-24,42711
2017-01-25,15539
2017-01-26,136063
2017-01-27,143629
2017-01-28,48360
2017-01-29,143272
2017-01-30,31357
2017-01-31,129121
2017-02-01,87505
2017-02-02,12869
2017-02-03,60108
2017-02-04,122296
2017-02-05,104179
2017-02-06,100272
2017-02-07,48467
2017-02-08,33328
2017-02-09,101412
2017-02-10,145059
2017-02-11,68871
2017-02-12,163471
2017-02-13,138391
2017-02-14,96416
2017-02-15,80271
2017-02-16,54064
2017-02-17,117450
2017-02-18,29830
2017-02-19,158501
2017-02-20,147965
2017-02-21,126381
2017-02-22,57333
2017-02-23,144508
2017-02-24,86213
2017-02-25,146967
2017-02-26,160810
2017-02-27,40746
2017-02-28,59377
2017-03-01,64045
2017-03-02,107888
2017-03-03,117455
2017-03-04,146672
2017-03-05,103179
2017-03-06,55714
2017-03-07,112946
2017-03-08,119616
2017-03-09,115983
2017-03-10,134123
2017-03-11,159661
2017-03-12,53484
2017-03-13,92989
2017-03-14,46212
2017-03-15,53525
2017-03-16,173707
2017-03-17,73208
2017-03-18,43828
2017-03-19,159783
2017-03-20,13420
2017-03-21,106752
2017-03-22,141373
2017-03-23,125294
2017-03-24,134019
2017-03-25,75726
2017-03-26,151564
2017-03-27,125668
2017-03-28,16102
2017-03-29,128015
2017-03-30,36641
2017-03-31,175656
2017-04-01,173817
2017-04-02,164165
2017-04-03,113746
2017-04-04,46631
2017-04-05,82991
2017-04-06,14014
2017-04-07,21093
2017-04-08,28070
2017-04-09,45777
2017-04-10,66958
2017-04-11,92074
2017-04-12,20729
2017-04-13,168823
2017-04-14,115864
2017-04-15,140858
2017-04-16,115510
2017-04-17,64748
2017-04-18,15801
2017-04-19,160262
2017-04-20,39592
2017-04-21,20647
2017-04-22,149788
2017-04-23,120627
2017-04-24,80316
2017-04-25,12368
2017-04-26,87575
2017-04-27,16655
2017-04-28,80031
2017-04-29,97922
2017-04-30,134046
2017-05-01,154475
2017-05-02,42097
2017-05-03,152038
2017-05-04,134862
2017-05-05,128834
2017-05-06,103848
2017-05-07,62921
2017-05-08,136141
2017-05-09,32677
2017-05-10,65609
2017-05-11,41024
2017-05-12,80313
2017-05-13,137813
2017-05-14,105285
2017-05-15,156410
2017-05-16,123632
2017-05-17,160580
2017-05-18,13051
2017-05-19,124692
2017-05-20,97235
2017-05-21,173165
2017-05-22,83523
2017-05-23,104476
2017-05-24,27019
2017-05-25,93613
2017-05-26,96672
2017-05-27,83847
2017-05-28,92750
2017-05-29,38251
2017-05-30,113481
2017-05-31,122566
2017-06-01,35945
2017-06-02,100852
2017-06-03,42217
2017-06-04,18308
2017-06-05,15949
2017-06-06,142222
2017-06-07,110235
2017-06-08,84740
2017-06-09,126352
2017-06-10,76617
2017-06-11,26896
2017-06-12,140798
2017-06-13,148877
2017-06-14,15237
2017-06-15,30056
2017-06-16,124548
2017-06-17,121488
2017-06-18,144415
2017-06-19,154572
2017-06-20,39375
2017-06-21,150734
2017-06-22,26964
2017-06-23,123429
2017-06-24,77215
2017-06-25,79042
2017-06-26,154356
2017-06-27,103468
2017-06-28,19435
2017-06-29,88832
2017-06-30,61293
2017-07-01,88781
2017-07-02,170196
2017-07-03,53919
2017-07-04,176319
2017-07-05,131172
2017-07-06,104758
2017-07-07,66573
2017-07-08,69101
2017-07-09,36646
2017-07-10,114185
2017-07-11,33049
2017-07-12,108116
2017-07-13,107379
2017-07-14,78385
2017-07-15,136131
2017-07-16,33289
2017-07-17,120226
2017-07-18,110793
2017-07-19,19823
2017-07-20,51975
2017-07-21,19540
2017-07-22,26364
2017-07-23,145683
2017-07-24,37663
2017-07-25,61991
2017-07-26,114182
2017-07-27,172049
2017-07-28,104704
2017-07-29,59115
2017-07-30,101007
2017-07-31,159143
2017-08-01,21938
2017-08-02,176267
2017-08-03,101680
2017-08-04,14000
2017-08-05,111042
2017-08-06,103610
2017-08-07,113691
2017-08-08,48304
2017-08-09,79449
2017-08-10,92986
2017-08-11,161836
2017-08-12,118940
2017-08-13,48494
2017-08-14,13373
2017-08-15,153233
2017-08-16,107532
2017-08-17,102658
2017-08-18,133633
2017-08-19,110386
2017-08-20,37350
2017-08-21,103008
2017-08-22,104297
2017-08-23,35351
2017-08-24,98668
2017-08-25,124585
2017-08-26,156377
2017-08-27,85353
2017-08-28,75953
2017-08-29,67458
2017-08-30,30358
2017-08-31,13267
2017-09-01,92745
2017-09-02,99588
2017-09-03,48513
2017-09-04,167164
2017-09-05,21338
2017-09-06,141484
2017-09-07,17543
2017-09-08,115891
2017-09-09,174568
2017-09-10,70692
2017-09-11,54425
2017-09-12,48756
2017-09-13,28888
2017-09-14,176807
2017-09-15,57295
2017-09-16,124352
2017-09-17,93042
2017-09-18,95999
2017-09-19,27955
2017-09-20,47841
2017-09-21,80640
2017-09-22,175983
2017-09-23,148429
2017-09-24,173551
2017-09-25,71476
2017-09-26,54811
2017-09-27,177280
2017-09-28,161222
2017-09-29,81180
2017-09-30,122856
2017-10-01,78450
2017-10-02,162424
2017-10-03,121888
2017-10-04,120448
2017-10-05,24397
2017-10-06,141800
2017-10-07,129180
2017-10-08,76234
2017-10-09,49954
2017-10-10,89459
2017-10-11,157851
2017-10-12,165538
2017-10-13,178011
2017-10-14,176342
2017-10-15,69163
2017-10-16,61934
2017-10-17,173379
2017-10-18,64098
2017-10-19,15486
2017-10-20,149407
2017-10-21,96900
2017-10-22,136020
2017-10-23,112795
2017-10-24,152202
2017-10-25,97508
2017-10-26,128324
2017-10-27,70566
2017-10-28,37192
2017-10-29,11062
2017-10-30,94076
2017-10-31,99780
2017-11-01,162617
2017-11-02,31689
2017-11-03,21174
2017-11-04,98461
2017-11-05,136174
2017-11-06,113033
2017-11-07,19348
2017-11-08,164786
2017-11-09,48102
2017-11-10,84460
2017-11-11,112634
2017-11-12,99930
2017-11-13,16801
2017-11-14,113150
2017-11-15,164697
2017-11-16,11542
2017-11-17,31677
2017-11-18,49081
2017-11-19,103105
2017-11-20,29065
2017-11-21,98092
2017-11-22,64693
2017-11-23,36962
2017-11-24,38295
2017-11-25,23807
2017-11-26,167504
2017-11-27,178152
2017-11-28,142396
2017-11-29,101267
2017-11-30,176981
2017-12-01,29870
2017-12-02,175650
2017-12-03,36790
2017-12-04,128874
2017-12-05,35289
2017-12-06,25485
2017-12-07,54482
2017-12-08,96188
2017-12-09,14748
2017-12-10,150507
2017-12-11,13709
2017-12-12,133961
2017-12-13,40355
2017-12-14,154188
2017-12-15,166542
2017-12-16,52918
2017-12-17,62224
2017-12-18,49298
2017-12-19,90219
2017-12-20,71629
2017-12-21,76040
2017-12-22,38016
2017-12-23,33960
2017-12-24,43591
2017-12-25,113333
2017-12-26,124821
2017-12-27,46395
2017-12-28,139695
2017-12-29,163772
2017-12-30,44620
2017-12-31,138148
2018-01-01,30559
2018-01-02,103396
2018-01-03,31732
2018-01-04,101362
2018-01-05,171426
2018-01-06,23843
2018-01-07,124065
2018-01-08,81726
2018-01-09,27640
2018-01-10,62528
2018-01-11,48413
2018-01-12,62638
2018-01-13,120133
2018-01-14,116357
2018-01-15,160159
2018-01-16,165576
2018-01-17,148186
2018-01-18,88859
2018-01-19,109657
2018-01-20,152047
2018-01-21,21023
2018-01-22,31447
2018-01-23,135899
2018-01-24,33959
2018-01-25,76203
2018-01-26,129156
2018-01-27,170775
2018-01-28,19337
2018-01-29,56427
2018-01-30,71529
2018-01-31,112023
2018-02-01,94665
2018-02-02,115787
2018-02-03,172993
2018-02-04,43307
2018-02-05,168427
2018-02-06,137016
2018-02-07,14835
2018-02-08,30159
2018-02-09,131790
2018-02-10,115616
2018-02-11,179160
2018-02-12,88752
2018-02-13,65284
2018-02-14,67043
2018-02-15,176619
2018-02-16,107007
2018-02-17,92844
2018-02-18,37532
2018-02-19,175421
2018-02-20,132402
2018-02-21,128012
2018-02-22,146785
2018-02-23,66178
2018-02-24,59407
2018-02-25,60990
2018-02-26,139473
2018-02-27,68141
2018-02-28,164865
2018-03-01,66570
2018-03-02,178964
2018-03-03,11015
2018-03-04,71813
2018-03-05,37712
2018-03-06,110497
2018-03-07,149487
2018-03-08,122816
2018-03-09,138778
2018-03-10,72292
2018-03-11,33833
2018-03-12,145230
2018-03-13,30309
2018-03-14,16970
2018-03-15,82474
2018-03-16,56540
2018-03-17,161456
2018-03-18,28017
2018-03-19,85880
2018-03-20,115570
2018-03-21,18702
2018-03-22,141456
2018-03-23,10404
2018-03-24,170261
2018-03-25,22763
2018-03-26,159456
2018-03-27,108142
2018-03-28,150932
2018-03-29,90642
2018-03-30,60612
2018-03-31,33574
2018-04-01,33524
2018-04-02,20916
2018-04-03,14809
2018-04-04,173273
2018-04-05,154528
2018-04-06,131288
2018-04-07,48765
2018-04-08,175888
2018-04-09,55106
2018-04-10,63932
2018-04-11,158172
2018-04-12,67091
2018-04-13,31949
2018-04-14,47744
2018-04-15,118319
2018-04-16,102193
2018-04-17,46187
2018-04-18,148311
2018-04-19,134454
2018-04-20,24489
2018-04-21,71877
2018-04-22,59922
2018-04-23,104074
2018-04-24,173121
2018-04-25,47131
2018-04-26,125765
2018-04-27,83963
2018-04-28,116884
2018-04-29,135917
2018-04-30,34285
2018-05-01,47626
2018-05-02,29198
2018-05-03,160830
2018-05-04,25254
2018-05-05,54238
2018-05-06,11252
2018-05-07,49764
2018-05-08,87709
2018-05-09,178513
2018-05-10,63682
2018-05-11,69494
2018-05-12,91317
2018-05-13,75215
2018-05-14,88587
2018-05-15,16949
2018-05-16,65393
2018-05-17,148013
2018-05-18,35934
2018-05-19,164458
2018-05-20,85745
2018-05-21,104456
2018-05-22,63413
2018-05-23,107239
2018-05-24,52318
2018-05-25,80390
2018-05-26,53088
2018-05-27,113196
2018-05-28,65479
2018-05-29,29963
2018-05-30,65123
2018-05-31,135911
2018-06-01,112468
2018-06-02,83477
2018-06-03,24388
2018-06-04,15569
2018-06-05,79836
2018-06-06,114573
2018-06-07,177658
2018-06-08,153087
2018-06-09,55002
2018-06-10,147326
2018-06-11,158216
2018-06-12,165286
2018-06-13,147162
2018-06-14,152709
2018-06-15,163487
2018-06-16,34071
2018-06-17,68243
2018-06-18,135827
2018-06-19,118215
2018-06-20,111570
2018-06-21,174506
2018-06-22,79724
2018-06-23,125359
2018-06-24,85697
2018-06-25,38732
2018-06-26,131465
2018-06-27,152386
2018-06-28,165026
2018-06-29,67108
2018-06-30,121195
2018-07-01,113081
2018-07-02,46668
2018-07-03,33061
2018-07-04,89252
2018-07-05,49749
2018-07-06,140560
2018-07-07,114680
2018-07-08,157979
2018-07-09,159849
2018-07-10,61745
2018-07-11,118464
2018-07-12,101865
2018-07-13,122428
2018-07-14,33624
2018-07-15,33321
2018-07-16,151560
2018-07-17,32574
2018-07-18,146312
2018-07-19,151550
2018-07-20,160334
2018-07-21,128831
2018-07-22,145504
2018-07-23,105257
2018-07-24,74291
2018-07-25,137600
2018-07-26,60428
2018-07-27,141374
2018-07-28,141127
2018-07-29,121317
2018-07-30,149789
2018-07-31,137449
2018-08-01,38699
2018-08-02,83686
2018-08-03,77661
2018-08-04,54247
2018-08-05,157820
2018-08-06,115113
2018-08-07,14621
2018-08-08,156106
2018-08-09,146198
2018-08-10,146194
2018-08-11,28030
2018-08-12,92838
2018-08-13,94717
2018-08-14,48638
2018-08-15,77067
2018-08-16,128033
2018-08-17,115977
2018-08-18,98869
2018-08-19,115186
2018-08-20,44674
2018-08-21,176926
2018-08-22,56271
2018-08-23,83688
2018-08-24,179590
2018-08-25,121076
2018-08-26,151339
2018-08-27,11062
2018-08-28,60448
2018-08-29,105462
2018-08-30,147301
2018-08-31,57915
2018-09-01,14632
2018-09-02,114592
2018-09-03,144668
2018-09-04,119779
2018-09-05,147240
2018-09-06,118099
2018-09-07,17561
2018-09-08,92152
2018-09-09,135036
2018-09-10,134049
2018-09-11,36734
2018-09-12,147443
2018-09-13,36069
2018-09-14,22910
2018-09-15,83479
2018-09-16,91264
2018-09-17,33275
2018-09-18,82274
2018-09-19,110776
2018-09-20,58447
2018-09-21,175601
2018-09-22,136394
2018-09-23,85703
2018-09-24,86090
2018-09-25,27260
2018-09-26,122581
2018-09-27,13812
2018-09-28,169096
2018-09-29,126148
2018-09-30,168357
2018-10-01,126421
2018-10-02,11605
2018-10-03,82303
2018-10-04,168211
2018-10-05,86125
2018-10-06,154990
2018-10-07,168518
2018-10-08,134040
2018-10-09,154118
2018-10-10,165890
2018-10-11,14324
2018-10-12,86323
2018-10-13,19111
2018-10-14,179182
2018-10-15,26389
2018-10-16,132177
2018-10-17,51427
2018-10-18,169818
2018-10-19,132883
2018-10-20,141189
2018-10-21,135808
2018-10-22,122221
2018-10-23,23234
2018-10-24,63441
2018-10-25,10846
2018-10-26,20954
2018-10-27,89239
2018-10-28,56514
2018-10-29,98236
2018-10-30,107579
2018-10-31,147541
2018-11-01,171177
2018-11-02,52101
2018-11-03,74323
2018-11-04,101922
2018-11-05,178048
2018-11-06,137534
2018-11-07,77584
2018-11-08,114537
2018-11-09,88477
2018-11-10,52533
2018-11-11,11828
2018-11-12,11917
2018-11-13,30618
2018-11-14,42254
2018-11-15,115292
2018-11-16,57362
2018-11-17,30128
2018-11-18,133781
2018-11-19,75545
2018-11-20,92180
2018-11-21,97958
2018-11-22,150937
2018-11-23,143291
2018-11-24,49809
2018-11-25,126748
2018-11-26,15287
2018-11-27,175459
2018-11-28,18512
2018-11-29,142414
2018-11-30,118872
2018-12-01,160288
2018-12-02,103070
2018-12-03,89767
2018-12-04,107829
2018-12-05,167686
2018-12-06,177330
2018-12-07,52078
2018-12-08,116288
2018-12-09,93524
2018-12-10,22219
2018-12-11,10235
2018-12-12,52929
2018-12-13,137309
2018-12-14,77444
2018-12-15,149639
2018-12-16,111834
2018-12-17,94555
2018-12-18,83698
2018-12-19,134450
2018-12-20,146487
2018-12-21,177231
2018-12-22,53925
2018-12-23,147023
2018-12-24,97388
2018-12-25,18007
2018-12-26,68596
2018-12-27,131101
2018-12-28,171595
2018-12-29,98861
2018-12-30,96740
2018-12-31,25524
2019-01-01,160354
2019-01-02,165002
2019-01-03,141149
2019-01-04,135501
2019-01-05,30611
2019-01-06,158056
2019-01-07,24060
2019-01-08,53303
2019-01-09,170359
2019-01-10,49711
2019-01-11,153026
2019-01-12,83340
2019-01-13,112974
2019-01-14,159646
2019-01-15,150256
2019-01-16,160168
2019-01-17,77728
2019-01-18,175088
2019-01-19,21246
2019-01-20,159453
2019-01-21,137796
2019-01-22,177527
2019-01-23,102263
2019-01-24,145090
2019-01-25,21302
2019-01-26,77506
2019-01-27,51157
2019-01-28,64917
2019-01-29,106646
2019-01-30,93122
2019-01-31,34519
2019-02-01,90910
2019-02-02,130430
2019-02-03,81324
2019-02-04,15408
2019-02-05,69379
2019-02-06,35053
2019-02-07,150518
2019-02-08,141994
2019-02-09,108723
2019-02-10,61356
2019-02-11,20789
2019-02-12,107720
2019-02-13,76656
2019-02-14,54028
2019-02-15,74484
2019-02-16,42154
2019-02-17,12336
2019-02-18,113677
2019-02-19,77779
2019-02-20,29029
2019-02-21,69201
2019-02-22,42265
2019-02-23,112916
2019-02-24,56197
2019-02-25,135733
2019-02-26,164782
2019-02-27,170558
2019-02-28,81907
2019-03-01,138876
2019-03-02,74435
2019-03-03,50631
2019-03-04,139038
2019-03-05,30103
2019-03-06,74772
2019-03-07,136108
2019-03-08,24382
2019-03-09,94291
2019-03-10,111195
2019-03-11,144828
2019-03-12,30609
2019-03-13,157550
2019-03-14,85683
2019-03-15,134714
2019-03-16,140330
2019-03-17,81315
2019-03-18,87834
2019-03-19,136205
2019-03-20,24153
2019-03-21,86325
2019-03-22,154071
2019-03-23,65318
2019-03-24,141886
2019-03-25,125033
2019-03-26,86077
2019-03-27,100474
2019-03-28,143515
2019-03-29,83319
2019-03-30,135885
2019-03-31,119777
2019-04-01,27368
2019-04-02,156400
2019-04-03,101751
2019-04-04,37306
2019-04-05,47219
2019-04-06,70279
2019-04-07,63028
2019-04-08,114263
2019-04-09,10126
2019-04-10,62329
2019-04-11,37632
2019-04-12,119945
2019-04-13,65176
2019-04-14,144869
2019-04-15,154790
2019-04-16,44560
2019-04-17,86589
2019-04-18,32116
2019-04-19,177316
2019-04-20,142717
2019-04-21,134085
2019-04-22,127718
2019-04-23,29256
2019-04-24,110158
2019-04-25,178502
2019-04-26,129719
2019-04-27,78244
2019-04-28,152766
2019-04-29,66264
2019-04-30,67545
2019-05-01,49224
2019-05-02,107945
2019-05-03,23224
2019-05-04,50738
2019-05-05,166222
2019-05-06,73731
2019-05-07,149649
2019-05-08,18070
2019-05-09,136161
2019-05-10,18666
2019-05-11,67761
2019-05-12,46368
2019-05-13,147855
2019-05-14,51914
2019-05-15,137738
2019-05-16,77526
2019-05-17,29956
2019-05-18,56240
2019-05-19,131008
2019-05-20,178220
2019-05-21,104270
2019-05-22,14757
2019-05-23,29097
2019-05-24,151467
2019-05-25,157313
2019-05-26,113892
2019-05-27,168768
2019-05-28,80480
2019-05-29,56163
2019-05-30,29816
2019-05-31,62853
2019-06-01,165989
2019-06-02,106731
2019-06-03,162638
2019-06-04,72823
2019-06-05,161878
2019-06-06,11759
2019-06-07,102374
2019-06-08,143554
2019-06-09,34442
2019-06-10,174791
2019-06-11,103501
2019-06-12,12079
2019-06-13,143789
2019-06-14,69676
2019-06-15,169024
2019-06-16,100397
2019-06-17,82847
2019-06-18,103607
2019-06-19,159521
2019-06-20,174608
2019-06-21,74077
2019-06-22,48258
2019-06-23,169937
2019-06-24,147717
2019-06-25,129771
2019-06-26,48000
2019-06-27,36737
2019-06-28,21485
2019-06-29,48565
2019-06-30,166594
2019-07-01,129614
2019-07-02,75155
2019-07-03,62487
2019-07-04,139948
2019-07-05,22342
2019-07-06,50806
2019-07-07,58770
2019-07-08,88623
2019-07-09,113177
2019-07-10,141026
2019-07-11,85629
2019-07-12,130993
2019-07-13,136944
2019-07-14,115947
2019-07-15,36399
2019-07-16,138177
2019-07-17,119575
2019-07-18,120904
2019-07-19,40678
2019-07-20,86218
2019-07-21,73230
2019-07-22,84055
2019-07-23,172552
2019-07-24,82258
2019-07-25,49986
2019-07-26,165232
2019-07-27,95595
2019-07-28,111358
2019-07-29,74929
2019-07-30,83506
2019-07-31,44911
2019-08-01,97127
2019-08-02,172893
2019-08-03,123453
2019-08-04,94458
2019-08-05,22175
2019-08-06,129235
2019-08-07,64771
2019-08-08,137157
2019-08-09,131300
2019-08-10,96925
2019-08-11,76358
2019-08-12,158399
2019-08-13,57057
2019-08-14,16150
2019-08-15,14425
2019-08-16,26032
2019-08-17,12198
2019-08-18,161151
2019-08-19,177292
2019-08-20,154931
2019-08-21,172491
2019-08-22,128865
2019-08-23,149777
2019-08-24,33236
2019-08-25,97955
2019-08-26,113145
2019-08-27,156430
2019-08-28,104914
2019-08-29,112870
2019-08-30,126243
2019-08-31,24596
2019-09-01,174644
2019-09-02,142351
2019-09-03,121496
2019-09-04,140273
2019-09-05,148155
2019-09-06,130674
2019-09-07,130307
2019-09-08,158843
2019-09-09,171047
2019-09-10,29063
2019-09-11,77642
2019-09-12,100093
2019-09-13,178671
2019-09-14,169601
2019-09-15,45954
2019-09-16,37856
2019-09-17,12573
2019-09-18,45367
2019-09-19,109608
2019-09-20,70774
2019-09-21,33752
2019-09-22,65029
2019-09-23,158757
2019-09-24,140282
2019-09-25,61693
2019-09-26,126739
2019-09-27,65961
2019-09-28,136678
2019-09-29,84532
2019-09-30,91994
2019-10-01,66133
2019-10-02,71268
2019-10-03,179315
2019-10-04,41653
2019-10-05,167729
2019-10-06,163252
2019-10-07,131829
2019-10-08,138377
2019-10-09,11622
2019-10-10,58756
2019-10-11,50809
2019-10-12,26725
2019-10-13,61226
2019-10-14,91182
2019-10-15,39402
2019-10-16,14263
2019-10-17,57924
2019-10-18,84182
2019-10-19,152736
2019-10-20,45737
2019-10-21,111332
2019-10-22,99563
2019-10-23,170445
2019-10-24,177469
2019-10-25,138575
2019-10-26,111371
2019-10-27,48709
2019-10-28,160322
2019-10-29,31172
2019-10-30,21555
2019-10-31,63276
2019-11-01,67492
2019-11-02,99599
2019-11-03,165834
2019-11-04,21046
2019-11-05,126021
2019-11-06,169841
2019-11-07,164222
2019-11-08,14853
2019-11-09,130900
2019-11-10,162864
2019-11-11,69129
2019-11-12,124130
2019-11-13,173059
2019-11-14,156922
2019-11-15,153184
2019-11-16,131789
2019-11-17,165130
2019-11-18,48890
2019-11-19,76017
2019-11-20,173993
2019-11-21,142596
2019-11-22,110424
2019-11-23,25048
2019-11-24,176183
2019-11-25,178976
2019-11-26,64912
2019-11-27,44008
2019-11-28,141132
2019-11-29,93559
2019-11-30,65337
2019-12-01,120616
2019-12-02,23350
2019-12-03,34354
